runner,p_r,p_w,delta_x,delta_t,time
java,4,8,2,0.001,161.83825850486755
java,4,8,2,0.001,155.9739716053009
java,4,8,2,0.001,163.6741442680359
java,4,8,2,0.001,155.99604272842407
java,4,8,2,0.001,156.00788640975952
java,4,8,2,0.001,155.91293692588806
java,4,8,2,0.001,164.13656759262085
java,4,8,2,0.002,155.93214535713196
java,4,8,2,0.002,155.867116689682
java,4,8,2,0.002,155.93159794807434
java,4,8,2,0.002,161.79203701019287
java,4,8,2,0.002,155.81698441505432
java,4,8,2,0.002,155.93385529518127
java,4,8,2,0.002,161.85518980026245
java,4,8,2,0.002,163.87411451339722
java,4,8,2,0.002,155.7759826183319
java,4,8,2,0.004,155.9247601032257
java,4,8,2,0.004,156.02889108657837
java,4,8,2,0.004,156.02787685394287
java,4,8,2,0.002,161.7593057155609
java,4,8,2,0.004,156.04673171043396
java,4,8,2,0.004,156.01259088516235
java,4,8,2,0.004,156.02434539794922
java,4,8,2,0.004,156.0097897052765
java,4,8,2,0.004,156.03718495368958
java,4,8,2,0.004,162.0561237335205
java,4,8,2,0.004,164.05361652374268
